ABCD5_var_name,ABCD6_var_name,AtlasTrack_fiber_name,AtlasTrack_fiber_label
dmri_dtifa_fiberat_atrlh,mr_y_dti__is__fa__at__atr__lh_wmean,L_ATR,L anterior thalamic radiations
dmri_dtifa_fiberat_cgclh,mr_y_dti__is__fa__at__cgc__lh_wmean,L_CgC,L cingulum (cingulate)
dmri_dtifa_fiberat_cghlh,mr_y_dti__is__fa__at__cgh__lh_wmean,L_CgH,L cingulum (parahippocampal)
dmri_dtifa_fiberat_cstlh,mr_y_dti__is__fa__at__cst__lh_wmean,L_CST,L corticospinal tract or pyramidal tract
NA,mr_y_dti__is__fa__at__fscs__lh_wmean,L_fSCS,L superior corticostriate (frontal)
dmri_dtifa_fiberat_fxlh,mr_y_dti__is__fa__at__fx__lh_wmean,L_Fx,L fornix
NA,mr_y_dti__is__fa__at__fxcut__lh_wmean,L_Fxcut,L fornix; excluding fimbria
dmri_dtifa_fiberat_ifolh,mr_y_dti__is__fa__at__ifo__lh_wmean,L_IFO,L inferior fronto-occipital fasciculus
dmri_dtifa_fiberat_ifsfclh,mr_y_dti__is__fa__at__ifsfc__lh_wmean,L_IFSFC,L inferior frontal superior frontal cortex
dmri_dtifa_fiberat_ilflh,mr_y_dti__is__fa__at__ilf__lh_wmean,L_ILF,L inferior longitudinal fasciculus
NA,mr_y_dti__is__fa__at__pscs__lh_wmean,L_pSCS,L superior corticostriate (parietal)
dmri_dtifa_fiberat_pslflh,mr_y_dti__is__fa__at__pslf__lh_wmean,L_pSLF,L parietal superior longitudinal fasciculus
dmri_dtifa_fiberat_scslh,mr_y_dti__is__fa__at__scs__lh_wmean,L_SCS,L superior corticostriate
dmri_dtifa_fiberat_sifclh,mr_y_dti__is__fa__at__sifc__lh_wmean,L_SIFC,L striatal inferior frontal cotex
dmri_dtifa_fiberat_slflh,mr_y_dti__is__fa__at__slf__lh_wmean,L_SLF,L superior longitudinal fasciculus
dmri_dtifa_fiberat_tslflh,mr_y_dti__is__fa__at__tslf__lh_wmean,L_tSLF,L temporal superior longitudinal fasciculus
dmri_dtifa_fiberat_unclh,mr_y_dti__is__fa__at__unc__lh_wmean,L_Unc,L uncinate fasciculus
dmri_dtifa_fiberat_atrrh,mr_y_dti__is__fa__at__atr__rh_wmean,R_ATR,R anterior thalamic radiations
dmri_dtifa_fiberat_cgcrh,mr_y_dti__is__fa__at__cgc__rh_wmean,R_CgC,R cingulum (cingulate)
dmri_dtifa_fiberat_cghrh,mr_y_dti__is__fa__at__cgh__rh_wmean,R_CgH,R cingulum (parahippocampal)
dmri_dtifa_fiberat_cstrh,mr_y_dti__is__fa__at__cst__rh_wmean,R_CST,R corticospinal tract or pyramidal tract
NA,mr_y_dti__is__fa__at__fscs__rh_wmean,R_fSCS,R superior corticostriate (frontal)
dmri_dtifa_fiberat_fxrh,mr_y_dti__is__fa__at__fx__rh_wmean,R_Fx,R fornix
NA,mr_y_dti__is__fa__at__fxcut__rh_wmean,R_Fxcut,R fornix; excluding fimbria
dmri_dtifa_fiberat_iforh,mr_y_dti__is__fa__at__ifo__rh_wmean,R_IFO,R inferior fronto-occipital fasciculus
dmri_dtifa_fiberat_ifsfcrh,mr_y_dti__is__fa__at__ifsfc__rh_wmean,R_IFSFC,R inferior frontal superior frontal cortex
dmri_dtifa_fiberat_ilfrh,mr_y_dti__is__fa__at__ilf__rh_wmean,R_ILF,R inferior longitudinal fasciculus
NA,mr_y_dti__is__fa__at__pscs__rh_wmean,R_pSCS,R superior corticostriate (parietal)
dmri_dtifa_fiberat_pslfrh,mr_y_dti__is__fa__at__pslf__rh_wmean,R_pSLF,R parietal superior longitudinal fasciculus
dmri_dtifa_fiberat_scsrh,mr_y_dti__is__fa__at__scs__rh_wmean,R_SCS,R superior corticostriate
dmri_dtifa_fiberat_sifcrh,mr_y_dti__is__fa__at__sifc__rh_wmean,R_SIFC,R striatal inferior frontal cotex
dmri_dtifa_fiberat_slfrh,mr_y_dti__is__fa__at__slf__rh_wmean,R_SLF,R superior longitudinal fasciculus
dmri_dtifa_fiberat_tslfrh,mr_y_dti__is__fa__at__tslf__rh_wmean,R_tSLF,R temporal superior longitudinal fasciculus
dmri_dtifa_fiberat_uncrh,mr_y_dti__is__fa__at__unc__rh_wmean,R_Unc,R uncinate fasciculus
dmri_dtifa_fiberat_cc,mr_y_dti__is__fa__at__cc_wmean,CC,corpus callosum
dmri_dtifa_fiberat_fmaj,mr_y_dti__is__fa__at__fmaj_wmean,Fmaj,foreceps major
dmri_dtifa_fiberat_fmin,mr_y_dti__is__fa__at__fmin_wmean,Fmin,foreceps minor
